Date,Time,Credits,Crime Comitted,Faction Bounty,Victim
27-January-3303,19:00,400cr,assault,Jet Bridge Inc,Alstromer
27-January-3303,19:00,6000cr,murder,Jet Bridge Inc,Alstromer
27-January-3303,19:01,400cr,assault,Jet Bridge Inc,Frank Black
27-January-3303,19:01,6000cr,murder,Jet Bridge Inc,Frank Black
27-January-3303,19:01,400cr,assault,Jet Bridge Inc,Strolva
27-January-3303,19:01,6000cr,murder,Jet Bridge Inc,Strolva
27-January-3303,20:59,200cr,assault,Fedmich Electronics Partners,$ShipName_Police_Alliance;
